,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000051951,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,1.19106866745682,0,0,0,0,0,0,0
ENSMUSG00000102269,0.746344824091237,0,2.38213733491363,0,0.915093731913128,0.940047488438438,0.864686392520695,0,2.18947759245867,0
ENSMUSG00000098104,0.746344824091237,1.22697274292592,0,0,2.74528119573939,1.88009497687688,2.59405917756208,0,1.09473879622934,3.09219969246508
ENSMUSG00000102175,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,1.179542222817,0,0
ENSMUSG00000103922,3.73172412045618,6.13486371462959,4.76427466982727,5.03990920495057,6.4056561233919,3.76018995375375,3.45874557008278,5.89771111408502,2.18947759245867,5.15366615410847
ENSMUSG00000033845,1109.81475342367,1441.69297293795,1236.32927682018,1459.89369970068,1927.18739940905,1631.92243992913,2084.7588923674,1638.38414749282,1251.28644409013,1820.27488563111
ENSMUSG00000102275,2.23903447227371,22.0855093726665,7.14641200474091,3.35993946996705,11.8962185148707,8.46042739594595,16.4290414578932,7.07725333690202,26.2737311095041,2.06146646164339
ENSMUSG00000025903,1021.7460641809,1300.59110750147,1349.48080022857,1430.49422933847,1105.43322815106,1301.0257239988,1304.81176631373,1285.70102287053,1468.04472574354,1351.29126560724
ENSMUSG00000033813,1174.74675311961,814.709901302809,1026.70119134778,1145.73935925876,1263.74444377203,1531.33735866622,1137.06260616471,981.379129383747,707.201262364151,1242.03354314014
ENSMUSG00000062588,0,0,1.19106866745682,0,1.83018746382626,0,3.45874557008278,0,0,1.03073323082169
ENSMUSG00000103280,0,2.45394548585183,0,0.839984867491761,0.915093731913128,0,0,4.71816889126801,1.09473879622934,0
ENSMUSG00000002459,0,24.5394548585183,1.19106866745682,5.87989407244233,0.915093731913128,0,5.18811835512417,8.25679555971902,7.66317157360535,0
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,1.22697274292592,0,0,0,0,0,0,0,0
ENSMUSG00000033793,2518.91378130792,4483.3584026513,3967.44973129866,3228.90183063833,4593.7705342039,3150.09913375721,5752.75856944018,5068.49293144466,3534.91157302452,4112.62559097856
ENSMUSG00000025905,21.6439998986459,7.3618364575555,0,2.51995460247528,7.32074985530503,0,0,15.334048896621,38.3158578680268,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1259.83006306601,1363.16671739069,1385.21286025228,1131.4596165114,1281.13122467838,1573.63949564595,2183.33314111475,1534.58443188492,1327.91815982618,1392.52059484011
ENSMUSG00000090031,16.4195861300072,23.3124821155924,26.20351068405,10.0798184099011,20.1320621020888,17.8609022803303,28.5346509531829,16.513591119438,6.56843277737601,29.8912636938291
ENSMUSG00000087247,0,0,3.57320600237045,0,0,0.940047488438438,120.191408560377,4.71816889126801,0,2.06146646164339
ENSMUSG00000103355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,2.59405917756208,0,0,0
ENSMUSG00000103845,0.746344824091237,0,0,0,0,0.940047488438438,0.864686392520695,1.179542222817,0,1.03073323082169
ENSMUSG00000033740,0,0,1.19106866745682,0,0,0,0,2.35908444563401,0,0
ENSMUSG00000102135,0.746344824091237,9.81578194340734,2.38213733491363,5.87989407244233,5.49056239147877,3.76018995375375,6.91749114016556,8.25679555971902,8.75791036983469,7.21513261575186
ENSMUSG00000051285,586.627031735712,895.69010233592,859.951577903822,562.78986121948,491.40533403735,924.066681134985,632.950439325149,668.800440337241,854.990999855111,639.05460310945
