,A10,A7,B8,C9,D10,E8,F9,G10,G7,H8
ENSMUSG00000101652,0,0,0,1,1,0,0,1,0,0
ENSMUSG00000025925,720,837,722,718,1266,732,958,761,807,871
ENSMUSG00000104379,3,6,1,3,7,1,1,4,4,3
ENSMUSG00000100652,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000067795,1,0,1,1,1,0,0,0,0,1
ENSMUSG00000043716,18472,16574,12100,20365,33558,18829,23382,20261,14591,21507
ENSMUSG00000025921,221,101,128,194,266,164,225,125,155,277
ENSMUSG00000025920,284,372,302,139,438,252,333,373,284,308
ENSMUSG00000025939,605,504,462,801,736,566,606,405,642,614
ENSMUSG00000102457,1,2,0,0,0,0,1,0,0,0
ENSMUSG00000079658,2348,3334,2412,3478,4256,2573,3687,3051,3669,3511
ENSMUSG00000097744,0,5,3,0,2,2,3,1,2,2
ENSMUSG00000100959,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000025940,1076,914,862,1033,1212,784,1358,728,688,1269
ENSMUSG00000025779,58,69,81,82,149,48,101,78,82,82
ENSMUSG00000100093,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000042686,0,0,0,0,0,0,0,8,0,0
ENSMUSG00000025777,0,0,1,0,1,0,0,3,0,2
ENSMUSG00000100398,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101589,6,3,4,5,6,3,2,2,6,4
ENSMUSG00000102048,0,0,0,1,1,0,0,0,0,0
ENSMUSG00000067780,0,0,56,0,13,0,45,7,2,29
ENSMUSG00000025776,0,1,0,0,1,0,0,0,0,0
ENSMUSG00000101685,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000100720,0,0,2,2,1,0,2,1,0,1
ENSMUSG00000100204,0,0,0,0,1,1,1,1,0,2
ENSMUSG00000043760,0,1,1,1,1,0,0,0,0,0
ENSMUSG00000090142,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000041872,1,3,0,0,6,1,1,0,1,0
ENSMUSG00000041859,11178,10984,9640,11845,21759,11910,14454,11557,9559,9219
ENSMUSG00000099714,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000097934,2,6,4,0,9,4,5,4,10,0
ENSMUSG00000025931,85,173,88,17,142,133,129,135,76,73
ENSMUSG00000100929,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000041809,81,101,27,102,75,101,79,31,109,39
ENSMUSG00000041779,1201,1046,1131,1140,1966,982,1351,1063,969,926
ENSMUSG00000099971,0,1,0,2,0,1,2,1,2,0
ENSMUSG00000100819,1,0,0,0,0,5,0,1,6,1
ENSMUSG00000025933,69,76,63,122,123,141,116,147,131,49
ENSMUSG00000102633,0,0,0,0,0,1,0,0,1,0
ENSMUSG00000025934,1,1,3,0,1,2,2,0,2,2
ENSMUSG00000096375,1,1,0,0,1,0,1,0,1,0
ENSMUSG00000067750,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028033,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000082935,5,6,5,3,10,6,12,14,7,10
ENSMUSG00000041670,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000073730,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102766,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000097970,6,2,6,4,15,3,14,5,2,3
ENSMUSG00000100775,0,0,1,0,7,0,0,1,2,0
ENSMUSG00000026158,33,16,4,36,19,149,88,21,25,17
ENSMUSG00000097920,1,0,0,0,1,1,0,1,1,1
ENSMUSG00000026156,1,1,1,0,0,1,2,0,1,1
ENSMUSG00000026155,1821,1717,1623,2184,2354,1898,3002,1964,1855,1471
ENSMUSG00000026154,328,510,242,453,583,480,476,444,705,204
ENSMUSG00000102495,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026153,311,366,241,270,530,445,392,430,332,264
ENSMUSG00000102398,0,1,1,0,1,0,0,0,0,0
ENSMUSG00000026147,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026141,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099997,3,0,0,6,1,2,10,3,5,2
ENSMUSG00000100131,1,2,1,2,0,4,1,1,5,0
ENSMUSG00000067736,1,2,1,1,0,3,2,1,2,1
ENSMUSG00000101939,27,36,18,64,52,39,56,44,58,40
ENSMUSG00000101111,1,5,3,6,8,2,7,5,22,2
ENSMUSG00000100862,3,5,4,7,9,4,6,4,24,3
ENSMUSG00000102070,2,10,6,13,10,3,6,5,16,2
ENSMUSG00000101249,3,13,1,8,10,7,9,2,21,3
ENSMUSG00000073725,1289,1082,1022,1267,1939,1129,1450,986,1433,907
ENSMUSG00000033569,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000080849,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102747,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000086240,28,59,35,68,51,51,53,41,115,41
ENSMUSG00000048411,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081557,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000099492,7,5,8,16,11,10,9,6,3,14
ENSMUSG00000101726,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100261,1,0,1,0,1,4,2,1,3,3
ENSMUSG00000101180,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000048874,4032,3314,3169,3484,4544,4164,5110,3538,3525,2406
ENSMUSG00000103783,0,2,0,0,0,0,0,1,1,0
ENSMUSG00000104315,2,1,5,1,5,1,2,1,2,0
ENSMUSG00000026064,483,267,331,642,743,435,972,440,444,294
ENSMUSG00000086151,0,0,0,1,1,0,1,0,1,0
ENSMUSG00000086726,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087346,0,0,0,0,1,0,0,0,0,0
