"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Atp5b",7.43753883147481e-289,-0.349629340579124,1,1,1.90267118386788e-284,"Atp5b"
"H1f4",1.93234360843854e-288,1.40265808434465,0.754,0.544,4.94332141910747e-284,"H1f4"
"Eef1g",4.40217177937201e-288,-0.265012243493676,1,1,1.12616358459895e-283,"Eef1g"
"Sae1",1.46788505548057e-286,-0.395732070875129,0.999,1,3.7551435489304e-282,"Sae1"
"Set",3.35854484328459e-285,0.326914218752972,1,1,8.59182941809063e-281,"Set"
"Hist1h2ap",3.72479206154434e-285,1.92616745231066,0.955,0.877,9.52876305184273e-281,"Hist1h2ap"
"Rpl36a",4.89553136543825e-285,0.300188211366941,1,1,1.25237483390641e-280,"Rpl36a"
"Psmd3",6.78271256836521e-282,-0.462825098293623,0.973,0.996,1.73515352923919e-277,"Psmd3"
"Nsd2",8.79964683516695e-282,0.658540565366689,0.941,0.833,2.25112565337241e-277,"Nsd2"
"Trim71",1.2518193069017e-281,0.564437230638327,0.973,0.919,3.20240415091594e-277,"Trim71"
"Gm10076",2.57802507121293e-281,1.16588678360171,1,1,6.59510373717693e-277,"Gm10076"
"Prtg",6.04777853063834e-281,0.540230172904148,0.999,0.991,1.5471427037079e-276,"Prtg"
"Hif1a",3.43097823980836e-279,0.744528546383713,0.931,0.842,8.77712853307773e-275,"Hif1a"
"Eno1",4.91390476963872e-278,-0.348909930035902,1,1,1.25707511816898e-273,"Eno1"
"Gm47283",6.74161368408575e-278,-0.713367546165734,0.917,0.994,1.72463961266282e-273,"Gm47283"
"Eif2s2",6.53213509508192e-277,0.49714972871519,1,1,1.67105080002386e-272,"Eif2s2"
"Alyref",3.30608649506855e-275,-0.278991202901226,1,1,8.45763047168436e-271,"Alyref"
"Atp5d",8.58876448523666e-275,-0.31126368399737,1,1,2.19717773061324e-270,"Atp5d"
"Snrpa",8.30480724395767e-274,-0.401932062613761,0.996,1,2.12453578914925e-269,"Snrpa"
"Rpl5",1.73143521643852e-273,-0.256574788689775,1,1,4.42935757069302e-269,"Rpl5"
"Hnrnpl",3.23212430603944e-273,-0.401276103224037,1,1,8.26842039971009e-269,"Hnrnpl"
"U2surp",4.58023306971157e-270,0.481432646921447,0.996,0.978,1.17171522389361e-265,"U2surp"
"Aqr",4.68035949764793e-270,0.705256732622153,0.799,0.575,1.19732956668829e-265,"Aqr"
"Ppia",1.07702056462272e-268,-0.278705072469886,1,1,2.75523400841783e-264,"Ppia"
"Psmb5",5.52017603602532e-266,-0.361975689797337,1,1,1.412171433536e-261,"Psmb5"
"Atp5k",9.71256138626383e-265,0.639294459863716,1,1,2.48466745383401e-260,"Atp5k"
"St13",1.396255344122e-264,0.434333183597973,1,1,3.5719004213329e-260,"St13"
"Pdap1",4.91999725323097e-264,0.587202850359403,1,1,1.25863369732155e-259,"Pdap1"
"Atad2",1.09876102477782e-263,0.721042220364977,0.925,0.807,2.81085045358662e-259,"Atad2"
"Nucks1",2.550035926063e-263,0.387707928355264,1,1,6.52350190605438e-259,"Nucks1"
"Hnrnpu",1.35910481905454e-261,0.480399962277912,1,1,3.47686194810533e-257,"Hnrnpu"
"Tmpo",6.85355219541238e-258,0.444825594224229,1,0.996,1.75327572263039e-253,"Tmpo"
"Zmym4",3.65583975924343e-256,0.659191576551353,0.829,0.616,9.35236927209654e-252,"Zmym4"
"Snrpf",3.80539253772754e-256,0.345998427629098,1,1,9.73495519001458e-252,"Snrpf"
"Pfn1",3.71914124008065e-255,-0.302894334539159,1,1,9.51430712037432e-251,"Pfn1"
"Cct7",4.97582174648687e-255,-0.282994883770502,1,1,1.27291471918627e-250,"Cct7"
"Bola2",1.93221306780391e-254,0.450795938286802,0.999,0.998,4.94298747005595e-250,"Bola2"
"Cox5a",3.79480854864022e-254,-0.294418005113407,1,1,9.7078792291314e-250,"Cox5a"
"Eif3h",4.16607789681075e-254,-0.285778907516268,1,1,1.06576604756213e-249,"Eif3h"
"Arhgdia",7.18597926593775e-253,-0.374523987447964,0.999,1,1.8383172158122e-248,"Arhgdia"
"Dcakd",3.82786492741877e-251,-0.450046589017114,0.978,0.994,9.79244405732271e-247,"Dcakd"
"E2f3",5.2612789976417e-251,0.782617209428527,0.852,0.693,1.3459403931767e-246,"E2f3"
"Pebp1",6.85488951948853e-251,-0.265411076607386,1,1,1.75361783687556e-246,"Pebp1"
"Rdx",8.86630878648175e-251,0.528938558029558,0.998,0.996,2.26817911375776e-246,"Rdx"
"Ndufv2",2.19793252518927e-250,-0.395560959326843,0.996,0.999,5.62275098593918e-246,"Ndufv2"
"Rbm39",1.76990227407057e-249,0.403636288492406,1,1,4.52776399752734e-245,"Rbm39"
"Eif1",8.62726201204448e-249,-0.27551051638964,1,1,2.20702616792122e-244,"Eif1"
"Egr1",1.62083722850371e-248,0.833674483571864,0.755,0.442,4.1464257979582e-244,"Egr1"
"Dnmt1",2.29559402855088e-248,0.60622740070569,0.946,0.871,5.87258864383886e-244,"Dnmt1"
"Eif3a",5.51987557315481e-248,0.400367488594213,1,1,1.41209456912446e-243,"Eif3a"
"Myef2",2.60421520923443e-247,0.513179358884194,0.994,0.966,6.66210334826353e-243,"Myef2"
"Zfp664",3.43187582568411e-247,0.645676379516461,0.913,0.801,8.7794247372651e-243,"Zfp664"
"Zc3h15",9.21889188637484e-247,0.513992789169918,0.999,0.999,2.35837692237241e-242,"Zc3h15"
"Eef2",9.51644562295702e-247,-0.343224369369993,1,1,2.43449711926486e-242,"Eef2"
"Aldoa",3.25687926950589e-246,-0.368568746686925,1,1,8.33174854724997e-242,"Aldoa"
"Slc39a10",4.85327915690725e-245,0.642148616763746,0.903,0.761,1.24156587392001e-240,"Slc39a10"
"Ddx17",9.32403416680816e-245,0.625713228351841,0.892,0.75,2.38527442055286e-240,"Ddx17"
"Tardbp",1.97639278568737e-244,0.519328849442745,0.994,0.982,5.05600802434543e-240,"Tardbp"
"Nudcd3",8.33772685236875e-244,0.658309166984506,0.89,0.777,2.13295728337297e-239,"Nudcd3"
"Nsd1",2.25540152934929e-242,0.537488117861392,0.959,0.895,5.76976819238136e-238,"Nsd1"
"Rtf1",5.06700155859509e-241,0.511360458947081,0.991,0.967,1.2962403387198e-236,"Rtf1"
"Cdk2ap1",6.28665270424636e-241,-0.458890993529596,0.966,0.992,1.6082514948003e-236,"Cdk2ap1"
"Hsph1",9.7729448072566e-241,0.671751003140826,0.946,0.882,2.50011474059238e-236,"Hsph1"
"Ube2d3",1.27031549088583e-238,-0.298458586342469,1,1,3.24972108878413e-234,"Ube2d3"
"Fkbp4",7.22664956532538e-236,-0.305951965453426,1,1,1.84872149180154e-231,"Fkbp4"
"Supt16",1.06437833091039e-235,0.457797014054795,0.999,0.993,2.72289264613497e-231,"Supt16"
"mt-Atp8",3.21623045082007e-235,0.647956076752754,0.675,0.398,8.2277607392879e-231,"mt-Atp8"
"Fkbp1a",8.43185335920714e-234,-0.334079167002193,1,1,2.15703672635237e-229,"Fkbp1a"
"Phb2",8.92189583920129e-234,-0.30524748418931,1,1,2.28239939358447e-229,"Phb2"
"Usp50",1.38811484671273e-233,0.95943667697921,0.827,0.724,3.55107540086049e-229,"Usp50"
"Ewsr1",4.48021091076893e-233,-0.368099422850471,0.999,1,1.14612755519291e-228,"Ewsr1"
"Atp5a1",1.35833482169498e-232,-0.327795087063587,1,1,3.4748921408601e-228,"Atp5a1"
"Pcm1",3.57507196543442e-232,0.582136713686645,0.936,0.846,9.14574910197433e-228,"Pcm1"
"Dek",3.77968142856741e-232,0.526647120864347,1,0.999,9.66918103056114e-228,"Dek"
"Eif4g1",4.6864885101172e-231,0.480664237581613,0.998,0.986,1.19889749065818e-226,"Eif4g1"
"Ptov1",4.68917496415605e-231,-0.332266197785744,1,1,1.1995847393304e-226,"Ptov1"
"Malat1",6.60287014203511e-231,0.738763416839801,1,1,1.68914623973542e-226,"Malat1"
"Wdr77",2.55811743186364e-230,-0.450214697193422,0.955,0.991,6.54417601419357e-226,"Wdr77"
"Dhx36",8.6574443546146e-229,0.473022946372824,0.985,0.949,2.21474741479751e-224,"Dhx36"
"Prdx6",3.63362955790132e-228,-0.369119684096672,1,1,9.29555113502315e-224,"Prdx6"
"Ddx18",1.96218967994862e-226,0.585153293432606,0.99,0.982,5.01967363924456e-222,"Ddx18"
"Romo1",2.1560341265586e-225,0.436025611978462,0.999,0.997,5.51556650256222e-221,"Romo1"
"Ttc3",4.0145222648897e-225,0.472344528450467,0.997,0.988,1.02699508580408e-220,"Ttc3"
"Atp5md",6.94466119583115e-225,0.384428041040297,1,1,1.77658322711752e-220,"Atp5md"
"Pafah1b1",8.00438969410735e-225,0.479283209497192,0.989,0.971,2.04768297154654e-220,"Pafah1b1"
"Rps25",2.01085206749096e-224,0.273195830089531,1,1,5.14416175905538e-220,"Rps25"
"Ddost",3.23272073545613e-224,-0.401508497821049,0.991,0.999,8.26994618544388e-220,"Ddost"
"Gnb2",5.97596673785118e-223,-0.3652367259367,0.999,1,1.52877181087709e-218,"Gnb2"
"Rpl27",1.36088710852084e-222,0.291375773503584,1,1,3.48142140101802e-218,"Rpl27"
"Gm4742",1.55120428624266e-222,0.338545632835267,0.191,0.001,3.96829080506598e-218,"Gm4742"
"Thrap3",2.33765550744978e-221,0.51209498298817,0.978,0.948,5.98019031915804e-217,"Thrap3"
"Csde1",1.37964082964608e-220,0.408777604831837,0.998,0.991,3.5293971704006e-216,"Csde1"
"Akr1a1",1.95698187416116e-219,-0.393173085405026,0.997,1,5.00635103047908e-215,"Akr1a1"
"Hk2",1.53064269894221e-218,0.730101605596336,0.891,0.787,3.91569015243397e-214,"Hk2"
"Rbm28",2.71395976220639e-218,0.602592678426254,0.95,0.895,6.94285186367639e-214,"Rbm28"
"Pbrm1",3.5291362281348e-218,0.49643468762021,0.984,0.949,9.02823629881446e-214,"Pbrm1"
"Cyc1",5.0151388977044e-218,-0.352911638388181,0.998,1,1.28297283281074e-213,"Cyc1"
"Ppp1ca",1.29195211894585e-217,-0.277562673638503,1,1,3.30507191068728e-213,"Ppp1ca"
"Csnk2b",2.37058046859554e-216,-0.38983002071848,0.99,0.998,6.06441895476112e-212,"Csnk2b"
"H3c3",3.16154192772019e-215,1.05585909827874,0.569,0.314,8.08785655949378e-211,"H3c3"
"Ddx21",1.62735590565024e-214,0.73861241477753,0.947,0.913,4.16310187783445e-210,"Ddx21"
"Hspa8",4.36845816559578e-214,-0.308894980751339,1,1,1.11753896792271e-209,"Hspa8"
"Tpi1",6.03871766581689e-214,-0.417800564218156,1,1,1.54482475326928e-209,"Tpi1"
"Bptf",1.68735426238075e-212,0.543032434741473,0.965,0.914,4.31658967402244e-208,"Bptf"
"H4c8",6.95886367285966e-211,0.74403078354343,0.361,0.105,1.78021650479096e-206,"H4c8"
"Ubap2l",1.00857475386276e-210,0.464631250454874,0.984,0.964,2.58013593533172e-206,"Ubap2l"
"Rps26",1.28481991362586e-210,0.317109770842885,1,1,3.28682630303769e-206,"Rps26"
"Gpi1",2.63534267186071e-210,-0.408626787353913,0.999,1,6.74173362315406e-206,"Gpi1"
"Bms1",1.23756555558514e-209,0.653750756364955,0.864,0.747,3.16594020429791e-205,"Bms1"
"Psmb2",6.81023569647688e-209,-0.274650013772501,1,1,1.74219449587272e-204,"Psmb2"
"Knop1",2.46101205035477e-208,0.521744809338171,0.993,0.984,6.29576102721758e-204,"Knop1"
"Cbx5",4.32920281025973e-208,0.398289662245962,0.998,0.991,1.10749666292065e-203,"Cbx5"
"Kdm1a",1.24968574484464e-207,0.418148778690448,0.996,0.983,3.19694607246155e-203,"Kdm1a"
"Prpf19",1.41746577603968e-207,-0.452162566867991,0.962,0.985,3.62616094826472e-203,"Prpf19"
"Ddx3x",2.25332548973453e-207,0.449950113811627,0.988,0.969,5.76445726783888e-203,"Ddx3x"
"Hspa4",4.61786842945167e-207,0.442132696101574,0.999,0.997,1.18134310162233e-202,"Hspa4"
