"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Mcmbp",7.85250738236364e-31,-0.285684976233953,0.799,0.856,2.00882843855627e-26,"Mcmbp"
"Metap1",1.03025743961031e-30,-0.277168768488102,0.637,0.72,2.63560458201109e-26,"Metap1"
"Cd81",1.12820100931299e-30,-0.261540654951145,0.992,0.997,2.88616382202449e-26,"Cd81"
"Traf7",1.26087835919964e-30,-0.254563255187504,0.727,0.801,3.22557901850453e-26,"Traf7"
"Ythdf2",1.80257270987912e-30,-0.25672795982671,0.907,0.937,4.61134150641277e-26,"Ythdf2"
"Hnrnpul2",1.83696440466117e-30,0.258414990900443,0.868,0.773,4.6993223400042e-26,"Hnrnpul2"
"Coro1c",2.23784750319041e-30,-0.280066193133439,0.672,0.755,5.72486148266172e-26,"Coro1c"
"Ddx3y",2.60069113664925e-30,-0.27168800915488,0.209,0.362,6.65308806577612e-26,"Ddx3y"
"Eftud2",2.75331232447052e-30,-0.253651855276061,0.827,0.888,7.04352358846049e-26,"Eftud2"
"E130309D02Rik",2.86556249638211e-30,-0.275478477381214,0.591,0.687,7.33068197824471e-26,"E130309D02Rik"
"Ncaph2",2.9247800275682e-30,-0.282999639660978,0.657,0.74,7.48217226652498e-26,"Ncaph2"
"Gdi1",4.15644579254981e-30,-0.293249286830721,0.442,0.571,1.06330196265009e-25,"Gdi1"
"Rad51",4.58821884578697e-30,-0.256898411804027,0.871,0.928,1.17375814512922e-25,"Rad51"
"Hnrnph2",4.88026209833656e-30,-0.254667888544386,0.787,0.857,1.24846864999646e-25,"Hnrnph2"
"Agap3",5.00878241070023e-30,-0.292036785149157,0.408,0.536,1.28134671630533e-25,"Agap3"
"Tpbg",5.09263371170167e-30,-0.342967044320334,0.507,0.622,1.30279755612752e-25,"Tpbg"
"Copa",5.25481361297919e-30,0.252783068731137,0.708,0.567,1.34428641847234e-25,"Copa"
"Arhgap29",5.59762707805863e-30,0.326190604050951,0.574,0.42,1.43198495910896e-25,"Arhgap29"
"Nrip1",5.76812529316503e-30,0.314992400983557,0.63,0.488,1.47560181249748e-25,"Nrip1"
"Tspan12",6.50276089123651e-30,-0.376968966817636,0.472,0.596,1.66353629119612e-25,"Tspan12"
"Cdc23",7.96740081261432e-30,-0.265077128638423,0.655,0.741,2.038220475883e-25,"Cdc23"
"Fdft1",9.93757198092007e-30,-0.314810424238988,0.575,0.671,2.54222966415897e-25,"Fdft1"
"Uap1",1.1320779775621e-29,-0.274271488958948,0.606,0.706,2.89608188219937e-25,"Uap1"
"Letm1",2.7720476262347e-29,-0.288939455806857,0.568,0.656,7.0914522374336e-25,"Letm1"
"Cdca5",2.88437994123209e-29,-0.273042232765471,0.649,0.733,7.37882076565993e-25,"Cdca5"
"Eri3",3.04247258459902e-29,-0.259246731190812,0.808,0.877,7.78325336592122e-25,"Eri3"
"Cttn",3.08684570429051e-29,-0.269303974668925,0.64,0.731,7.89676868071599e-25,"Cttn"
"Fundc1",3.47108654608943e-29,-0.278030030079854,0.501,0.613,8.87973360220598e-25,"Fundc1"
"Dmwd",3.84789760649313e-29,-0.275839041476628,0.565,0.665,9.84369165693073e-25,"Dmwd"
"Actr1a",4.72856038214212e-29,-0.270910923180705,0.526,0.627,1.2096603169596e-24,"Actr1a"
"Mex3d",4.87828307571066e-29,-0.291808145141549,0.58,0.681,1.2479623764283e-24,"Mex3d"
"Slc25a17",5.54204169119987e-29,-0.254377911523766,0.735,0.812,1.41776510544275e-24,"Slc25a17"
"Atp2a2",5.79754366330956e-29,0.257752432083817,0.876,0.8,1.48312761994785e-24,"Atp2a2"
"Gm39459",6.51453872461975e-29,0.379346893611497,0.335,0.203,1.66654929653222e-24,"Gm39459"
"Amfr",7.37054671458176e-29,-0.293414833960926,0.461,0.579,1.8855332605243e-24,"Amfr"
"Jag1",9.21741649302936e-29,-0.478924762966499,0.364,0.494,2.35799948724677e-24,"Jag1"
"Cenpv",1.25798931539353e-28,0.302977881592435,0.518,0.37,3.21818826663974e-24,"Cenpv"
"Upf3b",1.27543309956535e-28,0.252929651831777,0.86,0.767,3.26281295530808e-24,"Upf3b"
"Kdm6b",1.32091511984818e-28,-0.372471052342821,0.582,0.667,3.37916505959562e-24,"Kdm6b"
"Atp5l",1.4892007901587e-28,-0.26794330236233,0.574,0.669,3.80967346138399e-24,"Atp5l"
"Greb1",2.43468526196066e-28,0.428058039992799,0.66,0.534,6.22841183714777e-24,"Greb1"
"Nacc1",3.00282969666585e-28,-0.272521327956439,0.593,0.682,7.68183893001058e-24,"Nacc1"
"Cnot7",3.09518669096747e-28,-0.253586016885097,0.811,0.865,7.91810659283299e-24,"Cnot7"
"Cdc42ep4",3.40303856215297e-28,-0.319127120871102,0.331,0.461,8.70565324969973e-24,"Cdc42ep4"
"Rbm10",3.50417590954334e-28,-0.257379006901343,0.692,0.768,8.96438281179377e-24,"Rbm10"
"Tpx2",4.71870495870308e-28,0.328456605964741,0.922,0.914,1.20713910253542e-23,"Tpx2"
"Kank1",4.94034118179152e-28,0.259802044973561,0.425,0.29,1.26383808112591e-23,"Kank1"
"Nav1",6.42081382955358e-28,0.251817030315356,0.532,0.386,1.6425725938764e-23,"Nav1"
"0610010K14Rik",7.1995265040156e-28,-0.253142829657063,0.819,0.876,1.84178287025727e-23,"0610010K14Rik"
"Pik3r2",9.92984123518116e-28,-0.268916001046679,0.398,0.523,2.54025198478404e-23,"Pik3r2"
"Dusp9",9.97134402575579e-28,-0.564333671490593,0.386,0.506,2.55086922866885e-23,"Dusp9"
"Rnf138",1.01743296414789e-27,-0.261872287161089,0.725,0.808,2.60279700888314e-23,"Rnf138"
