"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cavin2",4.3344284739393e-261,1.31570253053399,0.54,0.013,1.10883349220315e-256,"amnion","Cavin2"
"Tinagl1",1.33701733377827e-237,1.50668999878025,0.71,0.031,3.42035774327158e-233,"amnion","Tinagl1"
"Adamts2",1.27465429058541e-231,0.726792944195355,0.51,0.013,3.2608206061756e-227,"amnion","Adamts2"
"Upk3b",7.18597363055896e-230,0.848408794123717,0.49,0.012,1.83831577416959e-225,"amnion","Upk3b"
"Tdo2",7.96264928794857e-223,3.00603297511979,0.55,0.018,2.037004940843e-218,"amnion","Tdo2"
"Postn",3.13856599351414e-217,0.982932851645287,0.35,0.005,8.02907952460786e-213,"amnion","Postn"
"Ccn4",1.55789922956691e-196,1.16721245049898,0.51,0.018,3.98541780907807e-192,"amnion","Ccn4"
"Colec11",3.2195192721357e-195,1.34858426436569,0.58,0.025,8.23617420197755e-191,"amnion","Colec11"
"Vnn1",2.02765196992639e-183,0.945972066118248,0.54,0.022,5.18713926946569e-179,"amnion","Vnn1"
"Ripor3",3.47402320291478e-173,0.754860117006843,0.47,0.017,8.88724615769658e-169,"amnion","Ripor3"
"Prss35",3.61475283268086e-154,0.742688506853305,0.4,0.014,9.24726069656417e-150,"amnion","Prss35"
"Stard8",2.31703934701765e-149,2.01319315774948,0.86,0.093,5.92745005754055e-145,"amnion","Stard8"
"Steap2",2.98087410494369e-137,0.85654315577216,0.52,0.03,7.62567213526696e-133,"amnion","Steap2"
"Hand1",7.27536339879423e-134,3.32584177425923,0.94,0.134,1.86118346467954e-129,"amnion","Hand1"
"Gdf6",5.40317009810014e-132,0.441965995417413,0.28,0.007,1.38223897449598e-127,"amnion","Gdf6"
"Creb3l1",5.52176145830619e-128,1.44157607015208,0.67,0.06,1.41257701626389e-123,"amnion","Creb3l1"
"Ahnak",6.08885746250409e-127,2.61039948573434,0.93,0.142,1.5576515160578e-122,"amnion","Ahnak"
"Colec10",7.77431313609551e-127,0.296267768139521,0.17,0.001,1.98882478647595e-122,"amnion","Colec10"
"Tac2",1.30443054678951e-126,0.732697167868253,0.3,0.009,3.33699422479691e-122,"amnion","Tac2"
"Mab21l2",7.42447715817307e-123,1.38026970757936,0.57,0.043,1.89932974660384e-118,"amnion","Mab21l2"
"Snai2",5.29962622645426e-122,1.56731127347027,0.75,0.083,1.35575038125153e-117,"amnion","Snai2"
"Cobll1",1.24584737798505e-121,1.32359465901445,0.71,0.072,3.18712676236136e-117,"amnion","Cobll1"
"Olfml1",6.12816293929224e-120,0.422826824540326,0.26,0.007,1.56770664312974e-115,"amnion","Olfml1"
"Lims2",1.46029258783681e-119,0.492199064660337,0.29,0.009,3.73572049820414e-115,"amnion","Lims2"
"Smoc2",3.3594002952834e-119,1.84789161571846,0.67,0.066,8.594017835394e-115,"amnion","Smoc2"
"Krt14",1.15875795319245e-113,0.359021422428104,0.22,0.005,2.96433459585692e-109,"amnion","Krt14"
"Col5a2",3.33247967898169e-110,1.47904779924934,0.67,0.072,8.52514951477096e-106,"amnion","Col5a2"
"Cldn2",1.01625968119598e-109,0.440484028116182,0.26,0.008,2.59979551643555e-105,"amnion","Cldn2"
"Popdc2",1.91942432300755e-106,1.43652030192276,0.87,0.118,4.91027130311792e-102,"amnion","Popdc2"
"Scarf2",5.39677567435806e-106,0.814063108800566,0.53,0.042,1.38060315301428e-101,"amnion","Scarf2"
"Rgn",3.28448836229764e-103,0.734752244262541,0.45,0.03,8.40237812842982e-99,"amnion","Rgn"
"Zfp469",3.69415577188554e-101,0.437042153924353,0.2,0.004,9.45038929563758e-97,"amnion","Zfp469"
"Cryab",5.08646016943507e-101,1.56496607468601,0.81,0.11,1.30121824054488e-96,"amnion","Cryab"
"Col3a1",1.05395139762245e-100,1.55453743586066,0.55,0.051,2.69621846539775e-96,"amnion","Col3a1"
"Epas1",7.19294944385317e-99,0.535621658434338,0.29,0.012,1.84010032672652e-94,"amnion","Epas1"
"Ccdc80",2.60352744844099e-95,1.59513365469122,0.84,0.143,6.66034391860174e-91,"amnion","Ccdc80"
"Radil",3.65171223501267e-95,0.749718872560852,0.52,0.046,9.34181023960942e-91,"amnion","Radil"
"Wnt2",4.48274288132057e-93,1.68828170315756,0.79,0.111,1.14677528389943e-88,"amnion","Wnt2"
"Tslrn1",1.92561375872453e-89,0.306755783263112,0.14,0.002,4.92610511756909e-85,"amnion","Tslrn1"
"Prdm6",1.51945820483445e-88,1.35719690728586,0.75,0.114,3.88707797960749e-84,"amnion","Prdm6"
"Krt13",3.99873400605365e-88,0.26933595179833,0.17,0.004,1.02295613342865e-83,"amnion","Krt13"
"Tek",4.22779086882529e-88,0.750106198814198,0.42,0.031,1.08155346006288e-83,"amnion","Tek"
"Jdp2",1.64428224313927e-87,1.55751185931847,0.74,0.117,4.20640283439888e-83,"amnion","Jdp2"
"Tnnt2",8.19221851215971e-85,0.452764766907636,0.84,0.141,2.0957333397807e-80,"amnion","Tnnt2"
"Myrf",1.24513041330819e-84,1.00505975706021,0.7,0.101,3.18529262332502e-80,"amnion","Myrf"
"Dlk1",3.46688668925157e-84,3.83004411464987,0.99,0.335,8.86898952844338e-80,"amnion","Dlk1"
"Pmp22",6.28594479505224e-83,4.21016839634163,1,0.351,1.60807039747026e-78,"amnion","Pmp22"
"Tmem108",5.85927946503757e-82,2.33193156750644,0.95,0.273,1.49892087274591e-77,"amnion","Tmem108"
"Dok4",2.81025231900247e-81,1.77702879606797,0.93,0.208,7.18918748247212e-77,"amnion","Dok4"
"Bmp4",2.97399171408736e-81,2.14050280248869,0.97,0.245,7.60806560297829e-77,"amnion","Bmp4"
"Tbx20",1.21068861956741e-79,0.970853654340484,0.66,0.087,3.09718362657736e-75,"amnion","Tbx20"
"Tagln",4.96109119980682e-79,2.5158881824582,0.95,0.235,1.26914635073458e-74,"amnion","Tagln"
"Pcolce",1.56432985596237e-76,1.49434084580075,0.77,0.145,4.00186863752293e-72,"amnion","Pcolce"
"Morc4",2.51243021605936e-76,1.18490597674399,0.71,0.117,6.42729897872305e-72,"amnion","Morc4"
"Masp1",4.62361485408318e-74,0.618676312607543,0.47,0.047,1.18281315197156e-69,"amnion","Masp1"
"Plac8",3.36708159983226e-73,2.63548430713506,0.93,0.293,8.61366814869088e-69,"amnion","Plac8"
"Gucy1b1",3.97888714225926e-73,0.690870112746218,0.47,0.049,1.01787890873276e-68,"amnion","Gucy1b1"
"Igsf11",6.19938516930395e-73,0.897987918025417,0.57,0.075,1.58592671401134e-68,"amnion","Igsf11"
"Emp2",4.92034447441941e-72,1.10821010388103,0.62,0.092,1.25872252344597e-67,"amnion","Emp2"
"Slc51a",1.94633537789264e-71,0.283486003940265,0.21,0.008,4.97911516372496e-67,"amnion","Slc51a"
"Foxf1",6.87836297781997e-71,2.16586502982919,0.92,0.218,1.7596228169859e-66,"amnion","Foxf1"
"Bnc1",1.72452697700249e-70,0.416938701013535,0.28,0.017,4.41168491256778e-66,"amnion","Bnc1"
"Ramp1",3.48978630335398e-70,0.576007223074106,0.37,0.03,8.92757132124014e-66,"amnion","Ramp1"
"Ppic",9.44588346920635e-70,2.17094058216058,0.99,0.388,2.41644590909237e-65,"amnion","Ppic"
"Tead4",1.1532620163041e-69,0.810935629268222,0.56,0.076,2.95027489010914e-65,"amnion","Tead4"
"Hlx",3.27773620709311e-69,0.985924169554039,0.43,0.043,8.38510476498559e-65,"amnion","Hlx"
"Svep1",1.19538094055206e-68,0.773337893574301,0.58,0.081,3.05802352212027e-64,"amnion","Svep1"
"Acta2",6.24278855827229e-68,2.11253830805176,0.9,0.246,1.59703016897722e-63,"amnion","Acta2"
"Plac1",6.21372110779936e-67,0.928844722644235,0.55,0.074,1.58959413379723e-62,"amnion","Plac1"
"Gata6",1.35409033359368e-66,1.37532853609248,0.91,0.215,3.46403389139935e-62,"amnion","Gata6"
"Rem1",2.12615756066894e-66,0.650915901726065,0.38,0.034,5.43913627170327e-62,"amnion","Rem1"
"Ctso",3.63805455395338e-66,0.48407225450091,0.3,0.021,9.30687115992354e-62,"amnion","Ctso"
"Gm38211",6.59687461237193e-66,0.395565050220968,0.27,0.017,1.68761246333699e-61,"amnion","Gm38211"
"Abca4",6.89618763754465e-65,0.491296322009692,0.35,0.03,1.76418272143667e-60,"amnion","Abca4"
"Arl4d",3.22170976484918e-64,1.41782378257835,0.77,0.165,8.24177792043716e-60,"amnion","Arl4d"
"Steap1",3.97420203314043e-64,1.54958661837372,0.66,0.128,1.01668036411799e-59,"amnion","Steap1"
"Pitx1",2.31952891786916e-63,1.12528866703115,0.58,0.083,5.93381887769288e-59,"amnion","Pitx1"
"Hand2",3.60278640411374e-63,1.35206282743902,0.87,0.195,9.21664817900377e-59,"amnion","Hand2"
"Rgs5",7.91076902408857e-63,1.11334290591947,0.72,0.135,2.02373293174234e-58,"amnion","Rgs5"
"Actg2",2.27223860771733e-62,0.695589352609056,0.42,0.045,5.81284080626248e-58,"amnion","Actg2"
"Akr1b8",7.35127070661087e-62,1.34648020851183,0.69,0.138,1.88060207216519e-57,"amnion","Akr1b8"
"Gata5",1.51041990662479e-61,1.08371198331335,0.65,0.105,3.86395620512753e-57,"amnion","Gata5"
"Col1a1",3.96118787382827e-61,1.3284309790531,0.53,0.077,1.01335108188275e-56,"amnion","Col1a1"
"Nrp1",6.21356190371455e-61,1.91692531340134,0.87,0.267,1.58955340620826e-56,"amnion","Nrp1"
"Smim1",6.98953743576706e-61,1.23250860835819,0.68,0.13,1.78806346681793e-56,"amnion","Smim1"
"Anxa2",3.25546885221457e-60,2.72372264936062,0.86,0.275,8.32814041773531e-56,"amnion","Anxa2"
"Tnnt3",7.87420828387046e-60,0.786124834664001,0.57,0.088,2.01437996317974e-55,"amnion","Tnnt3"
"Gucy1a1",2.70590213196269e-59,0.463733987909486,0.36,0.034,6.92223883398694e-55,"amnion","Gucy1a1"
"Ppfibp2",6.12907565681643e-59,0.69645008783488,0.51,0.071,1.56794013452678e-54,"amnion","Ppfibp2"
"Krt8",1.44221685388312e-58,2.84771601498224,1,0.581,3.6894791556038e-54,"amnion","Krt8"
"Nexn",1.58889731966733e-58,0.778991789164825,0.77,0.159,4.06471712317298e-54,"amnion","Nexn"
"Nr1h5",2.30719853302591e-58,0.263093725956369,0.17,0.007,5.90227528718689e-54,"amnion","Nr1h5"
"Sult5a1",2.95979720110389e-58,0.743399003315114,0.51,0.072,7.57175319986397e-54,"amnion","Sult5a1"
"Pdlim2",4.93725261106633e-58,1.16070088968278,0.65,0.127,1.26304796296299e-53,"amnion","Pdlim2"
"Bmp2",1.3742081260162e-57,1.24178780317137,0.7,0.138,3.51549922797465e-53,"amnion","Bmp2"
"C430049B03Rik",2.18049318736737e-57,1.35402016658823,0.81,0.202,5.57813767192322e-53,"amnion","C430049B03Rik"
"Me1",2.63182759930765e-56,1.02498481484773,0.67,0.14,6.73274136454882e-52,"amnion","Me1"
"Nhsl2",3.03995216546255e-56,0.755808605037454,0.6,0.104,7.7768056296863e-52,"amnion","Nhsl2"
"Pitx2",3.57829316570711e-56,1.20411256965375,0.63,0.116,9.15398957651193e-52,"amnion","Pitx2"
"Tcf21",4.82627420435732e-56,0.889101041500201,0.64,0.114,1.23465746695869e-51,"amnion","Tcf21"
"Lum",1.49578398513571e-55,1.73856563267689,0.37,0.04,3.82651459077418e-51,"amnion","Lum"
"Col1a2",1.93504889838679e-55,1.5982841049222,0.76,0.186,4.95024209185309e-51,"amnion","Col1a2"
"Ece1",3.14332202289645e-55,1.50386946616604,0.9,0.306,8.04124639897369e-51,"amnion","Ece1"
"Krt18",6.84691615476253e-55,2.589001758424,1,0.69,1.75157809071135e-50,"amnion","Krt18"
"Bex3",1.95213746297004e-54,1.37348866683163,1,1,4.99395805776995e-50,"amnion","Bex3"
"Zim1",9.0714358780634e-54,0.516829391186619,0.39,0.045,2.32065472632618e-49,"amnion","Zim1"
"Car4",2.44525851560644e-53,2.08070713272012,1,0.581,6.2554603346244e-49,"amnion","Car4"
"Loxl1",5.7458714137776e-53,0.548914816247085,0.34,0.035,1.46990882507259e-48,"amnion","Loxl1"
"H19",2.86876289303474e-52,2.0118112606243,1,0.669,7.33886923296147e-48,"amnion","H19"
"Vim",3.50296173129706e-52,2.40667328432274,0.99,0.705,8.96127670100414e-48,"amnion","Vim"
"Tnni1",3.79866355403228e-52,0.864971224954326,0.79,0.192,9.71774110392537e-48,"amnion","Tnni1"
"Tmem88",4.9840713393525e-52,1.92233621608877,0.93,0.433,1.27502513003316e-47,"amnion","Tmem88"
"Spin2c",6.87382740905723e-52,1.88281941163988,0.93,0.397,1.75846252778502e-47,"amnion","Spin2c"
"Gas6",9.25170660639911e-52,1.6589577615022,0.43,0.059,2.36677158404902e-47,"amnion","Gas6"
"Runx1t1",1.2984462823019e-51,1.01291089377371,0.73,0.166,3.32168527938471e-47,"amnion","Runx1t1"
"Mest",1.7480172106871e-51,1.81597015489089,1,0.962,4.47177762837973e-47,"amnion","Mest"
"Rbbp7",1.96900770506625e-51,1.20875621326006,1,1,5.03711551110048e-47,"amnion","Rbbp7"
"Lrrn4",5.01644062440131e-51,1.12869650645191,0.66,0.148,1.28330584053434e-46,"amnion","Lrrn4"
"Cmtm7",5.0730278557476e-51,1.74925896321009,1,0.816,1.29778198605735e-46,"amnion","Cmtm7"
"St3gal5",5.20258284892065e-51,1.52110069618232,0.88,0.346,1.33092474441088e-46,"amnion","St3gal5"
"Spon2",9.82618333060582e-51,0.483923972130434,0.28,0.024,2.51373421963558e-46,"amnion","Spon2"
"Kalrn",3.27442029601686e-50,1.06410477458638,0.68,0.163,8.37662200127034e-46,"amnion","Kalrn"
"Tgfb1i1",3.69984913818218e-50,1.23949279306448,0.75,0.187,9.46495406529765e-46,"amnion","Tgfb1i1"
"Lypd6",1.12504291311147e-49,0.710339428473674,0.47,0.073,2.87808478032177e-45,"amnion","Lypd6"
"Arhgap29",1.41570109998876e-49,1.57474507103967,0.95,0.409,3.62164655399124e-45,"amnion","Arhgap29"
"Plagl1",1.79194772137423e-49,1.21300928676992,0.66,0.149,4.58416066081955e-45,"amnion","Plagl1"
"Hacd4",2.60733033163193e-49,0.771718507873638,0.61,0.12,6.67007245438079e-45,"amnion","Hacd4"
"Serpinh1",3.05559353101694e-49,1.42836035738726,1,0.999,7.81681937104754e-45,"amnion","Serpinh1"
"Cnn2",3.19291859735523e-49,1.87656434025619,0.99,0.525,8.16812435575414e-45,"amnion","Cnn2"
"Twist2",4.0133127629842e-49,0.804091431156056,0.52,0.087,1.02668567102662e-44,"amnion","Twist2"
"Glipr2",6.16473628380317e-49,1.33529874654322,0.78,0.229,1.57706283612253e-44,"amnion","Glipr2"
"Psd",8.97322249379619e-49,0.341859584219028,0.18,0.01,2.29552977836294e-44,"amnion","Psd"
"Nid1",9.75609748420414e-49,0.671831267111147,0.38,0.048,2.4958048584091e-44,"amnion","Nid1"
"Ppp1r14a",1.25792883668965e-48,1.62054348956154,0.96,0.393,3.21803355001947e-44,"amnion","Ppp1r14a"
"Kcnab1",1.42155170477492e-48,0.63050160308595,0.48,0.076,3.63661357115519e-44,"amnion","Kcnab1"
"Bnc2",2.31238776906122e-48,0.348032058841631,0.25,0.02,5.91555039081242e-44,"amnion","Bnc2"
"S100a10",3.09255795711392e-48,2.27619403268678,0.98,0.824,7.91138176588882e-44,"amnion","S100a10"
"Tspan9",5.6826749672364e-48,1.01981127859266,0.8,0.227,1.45374191011842e-43,"amnion","Tspan9"
"Meg3",6.30601379053037e-48,2.01639560565487,1,0.893,1.61320444789348e-43,"amnion","Meg3"
"Tceal9",9.7425344257635e-48,1.20462808483289,1,1,2.49233515679882e-43,"amnion","Tceal9"
"Dusp26",1.32105975490687e-47,0.3754483338996,0.3,0.03,3.37953506500275e-43,"amnion","Dusp26"
"Man1a",2.31352781088965e-47,0.803686444485224,0.51,0.09,5.9184668458179e-43,"amnion","Man1a"
"Lsp1",3.41448326929303e-47,0.957280290650116,0.71,0.176,8.73493109950544e-43,"amnion","Lsp1"
"Cdc42ep2",7.27661784037349e-47,0.533264313071792,0.37,0.047,1.86150437592435e-42,"amnion","Cdc42ep2"
"Rian",7.71526687387378e-47,1.62671573015755,1,0.77,1.97371957167439e-42,"amnion","Rian"
"Csrp2",9.26640479092797e-47,1.71000129152838,1,0.982,2.37053167361519e-42,"amnion","Csrp2"
"4833412C05Rik",1.21491824392663e-46,0.274967826244661,0.16,0.008,3.10800385161312e-42,"amnion","4833412C05Rik"
"Peg10",1.50507686618245e-46,1.52975365821727,0.91,0.377,3.85028763906794e-42,"amnion","Peg10"
"Unc5c",2.18748737247018e-46,0.736971697569651,0.58,0.112,5.59603019625321e-42,"amnion","Unc5c"
"Pard6b",2.29457895131493e-46,1.1317797331648,0.75,0.212,5.86999187325385e-42,"amnion","Pard6b"
"Ednrb",3.27763850899267e-46,0.862442377621844,0.43,0.066,8.38485483370504e-42,"amnion","Ednrb"
"Asb4",5.99265763580655e-46,1.29590330112743,0.69,0.171,1.53304167639203e-41,"amnion","Asb4"
"Ecscr",8.40949226068408e-46,0.895978022805654,0.73,0.191,2.1513163101282e-41,"amnion","Ecscr"
"Smarcd3",8.73733317318677e-46,1.26067726534031,0.8,0.236,2.23518457236464e-41,"amnion","Smarcd3"
"Cgnl1",9.03128289633484e-46,1.07987131354126,0.78,0.221,2.31038279054038e-41,"amnion","Cgnl1"
"Dpf3",9.8384146159985e-46,0.579412773875681,0.42,0.06,2.51686322706474e-41,"amnion","Dpf3"
"Peg3",1.96594866980068e-45,1.74337935887239,1,0.784,5.0292898870841e-41,"amnion","Peg3"
"Sipa1l2",2.70428883679814e-45,0.657890967585536,0.49,0.084,6.91811170229699e-41,"amnion","Sipa1l2"
"Chst15",1.37100868441199e-44,0.57062275334482,0.41,0.059,3.50731441646274e-40,"amnion","Chst15"
"Nebl",2.15731405719618e-44,0.536380545160113,0.6,0.119,5.51884082111927e-40,"amnion","Nebl"
"Myl6",2.2141199687427e-44,1.08998327655178,1,1,5.66416170403759e-40,"amnion","Myl6"
"Phlda2",3.31325933703198e-44,2.40218219311549,0.98,0.544,8.4759800359952e-40,"amnion","Phlda2"
"Lipa",7.53841803609466e-44,1.21934873823581,0.78,0.256,1.92847810199374e-39,"amnion","Lipa"
"Pcgf5",1.38546638167944e-43,1.21920590421353,0.79,0.24,3.54430009761235e-39,"amnion","Pcgf5"
"Cygb",2.59805019979973e-43,0.314409355806547,0.17,0.01,6.64633202112767e-39,"amnion","Cygb"
"Slc25a4",7.5004971810678e-43,0.931750636086787,1,1,1.91877718886076e-38,"amnion","Slc25a4"
"Wnt11",9.86263570580276e-43,0.624687340835386,0.44,0.07,2.52305946625846e-38,"amnion","Wnt11"
"Cdh3",1.10897178673083e-42,0.851804731554964,0.6,0.131,2.83697162481481e-38,"amnion","Cdh3"
"Cdkl1",2.18659072248985e-42,0.460872632269246,0.33,0.041,5.59373638627353e-38,"amnion","Cdkl1"
"Podxl",3.13246302522232e-42,1.39138759936007,0.95,0.469,8.01346691112374e-38,"amnion","Podxl"
"Ptges",3.63493671393922e-42,0.843585379346968,0.56,0.118,9.2988951015993e-38,"amnion","Ptges"
"Prr5",4.25650186086299e-42,1.19575709221366,0.84,0.313,1.08889830604597e-37,"amnion","Prr5"
"Uaca",4.45490428825139e-42,1.08891989883866,0.92,0.351,1.13965361502047e-37,"amnion","Uaca"
"Hs6st2",9.3796623667454e-42,1.13496138787137,0.85,0.324,2.39950522666081e-37,"amnion","Hs6st2"
"Msx2",9.66285276042509e-42,1.43513683391369,0.86,0.284,2.47195099317195e-37,"amnion","Msx2"
"Ndrg1",1.0597169072627e-41,0.684155931083677,0.41,0.065,2.71096779215944e-37,"amnion","Ndrg1"
"Dact3",1.15212341944201e-41,0.927573413371048,0.7,0.19,2.94736213161655e-37,"amnion","Dact3"
"Sparc",1.23930869569049e-41,1.83953699565651,0.99,0.738,3.17039950531541e-37,"amnion","Sparc"
"Lgals1",1.64293199605257e-41,1.84515240524477,0.99,0.762,4.20294863230168e-37,"amnion","Lgals1"
"Slc1a6",1.69486656515833e-41,0.484066202432722,0.3,0.035,4.33580764698804e-37,"amnion","Slc1a6"
"Nrg2",3.89236111737724e-41,0.303504138520191,0.18,0.012,9.95743821047446e-37,"amnion","Nrg2"
"Aprt",5.46736053539755e-41,0.90691929773885,1,1,1.3986601721654e-36,"amnion","Aprt"
"Tubb2a",5.70850998662819e-41,1.65213366268268,0.9,0.411,1.46035102477922e-36,"amnion","Tubb2a"
"Reep5",9.22808045317256e-41,1.3727338940338,0.99,0.841,2.3607275415306e-36,"amnion","Reep5"
"Igf2",3.24103612088335e-40,0.668455038066005,0.55,0.114,8.29121860444379e-36,"amnion","Igf2"
"Myl12a",3.94431890783399e-40,0.883599836557962,1,1,1.00903566300209e-35,"amnion","Myl12a"
"Ghr",4.59947646698084e-40,0.686862426072222,0.52,0.107,1.17663806978304e-35,"amnion","Ghr"
"Tmsb4x",4.78575656670085e-40,1.83812973396272,1,0.991,1.22429224489341e-35,"amnion","Tmsb4x"
"Basp1",1.03116693517561e-39,1.3191135704626,1,0.99,2.63793125356625e-35,"amnion","Basp1"
"Ccdc42",1.13959884796258e-39,0.335720720047495,0.23,0.021,2.91532177285788e-35,"amnion","Ccdc42"
"Abracl",1.18257998854695e-39,1.00303557049014,1,0.999,3.0252761267008e-35,"amnion","Abracl"
"Cfc1",1.40350322277092e-39,1.1830250355978,0.67,0.175,3.59044194449256e-35,"amnion","Cfc1"
"5033428I22Rik",1.91048885275055e-39,0.473010736832355,0.41,0.065,4.88741258310645e-35,"amnion","5033428I22Rik"
"Efemp2",2.34969966102788e-39,0.93256840276715,0.78,0.261,6.01100167284153e-35,"amnion","Efemp2"
"Tmem98",6.35170820515716e-39,0.745527931334316,0.61,0.15,1.62489399304331e-34,"amnion","Tmem98"
"Efhd2",8.21159002917279e-39,1.19547021236398,0.85,0.302,2.10068896126298e-34,"amnion","Efhd2"
"Pdlim3",9.01258516784613e-39,0.538775099539652,0.43,0.073,2.3055995376384e-34,"amnion","Pdlim3"
"Csrp1",2.11930642841332e-38,1.86986827081034,0.96,0.737,5.42160970516697e-34,"amnion","Csrp1"
"Pdia6",3.38331558779148e-38,0.762012446157202,1,1,8.65519793668815e-34,"amnion","Pdia6"
"Anxa6",4.39717966334339e-38,1.12089196619247,0.72,0.224,1.12488650147651e-33,"amnion","Anxa6"
"Ldha",5.31912845902018e-38,-0.844678045599931,1,1,1.36073944238654e-33,"amnion","Ldha"
"Matn4",1.34842080731988e-37,0.316033596851123,0.23,0.022,3.44953010928571e-33,"amnion","Matn4"
"Tpm1",1.74819542099268e-37,0.764486547397126,1,0.955,4.47223352598346e-33,"amnion","Tpm1"
"Igf2os",1.98538549838569e-37,0.543371277916942,0.43,0.077,5.07901318197026e-33,"amnion","Igf2os"
"Cald1",2.1048575557887e-37,1.57133791206089,1,0.825,5.38464659921866e-33,"amnion","Cald1"
"Ptgfrn",2.34605234467274e-37,0.86176506188264,0.71,0.217,6.0016711081418e-33,"amnion","Ptgfrn"
"Ly6e",2.91610945238466e-37,1.08479977081556,0.87,0.361,7.45999120109044e-33,"amnion","Ly6e"
"Gadd45g",3.11570540834762e-37,0.633024635492809,0.82,0.26,7.97059757563488e-33,"amnion","Gadd45g"
"Ccnd3",3.12031713071405e-37,1.11920250654087,1,0.942,7.98239528379267e-33,"amnion","Ccnd3"
"H2az2",3.54138132127694e-37,-0.899066331918969,1,1,9.05956169609066e-33,"amnion","H2az2"
"Spats2l",3.69445939345838e-37,0.874261524250318,0.58,0.145,9.45116602034524e-33,"amnion","Spats2l"
"Sox5",6.52397542491718e-37,0.526754731445111,0.42,0.074,1.66896339320231e-32,"amnion","Sox5"
"Cysltr1",7.99015236675249e-37,0.505555529675526,0.3,0.04,2.04404077846262e-32,"amnion","Cysltr1"
"Smad6",1.28048990614119e-36,0.735619702158902,0.63,0.164,3.2757492778904e-32,"amnion","Smad6"
"Gm34030",1.39779023104537e-36,0.568529642890989,0.51,0.103,3.57582696906027e-32,"amnion","Gm34030"
"Zfp711",1.4236153443732e-36,0.722843087966404,0.49,0.102,3.64189277397552e-32,"amnion","Zfp711"
"Dusp9",1.62658741718682e-36,1.43019271765152,0.94,0.497,4.16113593064732e-32,"amnion","Dusp9"
"Ccbe1",1.71438349868109e-36,0.351438932982321,0.26,0.029,4.38573586632596e-32,"amnion","Ccbe1"
"Pcdh7",1.90919420833299e-36,0.822552356667254,0.72,0.216,4.88410062375746e-32,"amnion","Pcdh7"
"Dkk2",1.92247179375869e-36,0.413945029357462,0.16,0.011,4.91806734279347e-32,"amnion","Dkk2"
"Ccdc102a",2.50452080573344e-36,1.06984693780066,0.81,0.323,6.40706512522729e-32,"amnion","Ccdc102a"
"Marcks",2.69053082326889e-36,1.10054460448454,1,0.994,6.88291595208649e-32,"amnion","Marcks"
"Pkm",2.93894176974844e-36,-0.627718197573047,1,1,7.51840083537046e-32,"amnion","Pkm"
"Lrrfip1",3.40023075489722e-36,1.3937722362284,0.94,0.619,8.69847031717808e-32,"amnion","Lrrfip1"
"Tspan4",4.79839407858724e-36,1.44028949471902,0.91,0.531,1.22752517318419e-31,"amnion","Tspan4"
"Tbrg1",5.50714735738115e-36,0.951342266670686,1,0.991,1.40883843696525e-31,"amnion","Tbrg1"
"Rnd2",7.0646390806977e-36,1.05592807322785,0.74,0.255,1.80727596962409e-31,"amnion","Rnd2"
"Adamts9",9.39476803217765e-36,0.781667921193478,0.5,0.112,2.40336955799169e-31,"amnion","Adamts9"
"Ckap4",1.13796064080717e-35,1.00501011973809,1,0.937,2.9111309113129e-31,"amnion","Ckap4"
"Crabp2",1.39746212199731e-35,-2.86194008970959,0.27,0.842,3.57498760049351e-31,"amnion","Crabp2"
"Clec4f",1.46512578596801e-35,0.327156975322833,0.1,0.004,3.74808478566336e-31,"amnion","Clec4f"
"Arhgdib",1.57047350713324e-35,0.468169284849907,0.36,0.056,4.01758532594825e-31,"amnion","Arhgdib"
"Tnni2",1.78532973456958e-35,0.527187830564791,0.3,0.04,4.56723052697591e-31,"amnion","Tnni2"
"Stk39",2.12037648253205e-35,1.01775818523379,0.9,0.409,5.4243471176135e-31,"amnion","Stk39"
"Slc46a3",2.60387120103567e-35,0.266391772255206,0.17,0.013,6.66122330648944e-31,"amnion","Slc46a3"
"Cd248",2.99438637496345e-35,0.438073209378935,0.37,0.06,7.6602392244315e-31,"amnion","Cd248"
"Dkk3",3.76370550226315e-35,0.395100452220308,0.33,0.048,9.6283114158896e-31,"amnion","Dkk3"
"Hapln1",4.35866053547241e-35,0.823882817044996,0.91,0.327,1.11503253818455e-30,"amnion","Hapln1"
"Hspb8",6.46711173880852e-35,0.807380928042966,0.56,0.138,1.654416525022e-30,"amnion","Hspb8"
"Ddt",1.0849070865849e-34,1.2921605473075,1,0.988,2.77540930890149e-30,"amnion","Ddt"
"Jcad",1.15093304880119e-34,0.580467591602335,0.49,0.104,2.94431692544321e-30,"amnion","Jcad"
"S1pr2",1.59299026412855e-34,0.896494705337338,0.76,0.267,4.07518769369366e-30,"amnion","S1pr2"
"Fgfr3",1.59785546385242e-34,0.576301046514748,0.43,0.083,4.08763384762726e-30,"amnion","Fgfr3"
"Ptma",1.79114933779371e-34,-0.449566785383365,1,1,4.58211823594387e-30,"amnion","Ptma"
"Fzd4",1.84581975583213e-34,0.784300486423624,0.57,0.146,4.72197609936974e-30,"amnion","Fzd4"
"Mirg",2.99957340908144e-34,0.860524969556248,0.65,0.202,7.67350869511214e-30,"amnion","Mirg"
"Cbln1",3.56685271735757e-34,0.929103450533026,0.41,0.08,9.12472262154413e-30,"amnion","Cbln1"
