"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hcfc1",1.95140628557646e-30,0.295324715344463,0.819,0.767,4.99208755976169e-26
"Plaa",3.16471713124698e-30,0.27222359080806,0.771,0.683,8.09597936515602e-26
"Rnf10",3.17340107821181e-30,0.281682967287754,0.944,0.929,8.11819463828145e-26
"Lrrc58",3.79525384722092e-30,0.299187469627065,0.803,0.731,9.70901839196057e-26
"Btg3",4.03632845036117e-30,0.303818082524602,0.805,0.718,1.03257354417139e-25
"Mfap1b",5.47783475180335e-30,0.296144326395079,0.533,0.41,1.40133968620633e-25
"Nup98",7.76690831336685e-30,0.282023798477002,0.794,0.717,1.98693048472551e-25
"Commd3",8.82737839084893e-30,-0.285996645131058,0.619,0.745,2.25821993994697e-25
"Ktn1",1.22796888246095e-29,0.32191445604561,0.995,0.994,3.14138999511161e-25
"Zfp608",1.43264295383267e-29,0.377762710655468,0.703,0.626,3.66498720449473e-25
"Junb",1.62636915360579e-29,0.405122746587869,0.458,0.316,4.16057756875432e-25
"Otud6b",1.63693698502497e-29,0.294188430923326,0.797,0.743,4.18761219509087e-25
"Prkaca",2.20297803083946e-29,0.285416736485256,0.613,0.49,5.63565839849351e-25
"Itch",3.72360432224849e-29,0.307083698141554,0.692,0.606,9.52572457717609e-25
"Snhg5",4.71960500488734e-29,0.334015925111877,0.648,0.554,1.20736935235028e-24
"Rangap1",5.0565337799906e-29,0.256743611393176,0.944,0.918,1.2935624715972e-24
"Zfp422",6.36145964028593e-29,0.254890721471772,0.875,0.825,1.62738860517795e-24
"Rac3",7.47732692441974e-29,-0.266564082433881,0.475,0.62,1.91284977380506e-24
"Cbfb",1.65746705428441e-28,0.287993204283321,0.546,0.42,4.24013221827037e-24
"Bms1",1.6616421830165e-28,0.354418845044244,0.864,0.865,4.25081303259282e-24
"Tmx3",1.88365373839845e-28,0.272325953145132,0.792,0.725,4.81876299357091e-24
"Fzd3",2.59151230144677e-28,0.440993559150212,0.757,0.703,6.62960676956112e-24
"Supt5",2.93967737986273e-28,0.305898396461626,0.814,0.77,7.52028267316483e-24
"Sdcbp",3.69826898326897e-28,0.251924424576518,0.905,0.852,9.46091171299868e-24
"Rnf138",3.75098400145736e-28,0.274243154344719,0.81,0.725,9.59576727252822e-24
"Setd5",5.86772784954104e-28,0.2619063510735,0.926,0.901,1.50108213846959e-23
"Sec61a2",1.51744586248169e-27,0.276910038775334,0.647,0.539,3.88193000540065e-23
"Cttn",1.57190951717441e-27,0.290391557478672,0.718,0.64,4.02125892683556e-23
"Cnot1",1.57456293923848e-27,0.290604179734419,0.861,0.849,4.02804691115988e-23
"Dnph1",1.63072106487787e-27,-0.253543386895335,0.835,0.905,4.17171062817056e-23
"Bmpr1a",1.70438625347516e-27,0.279513686321185,0.749,0.671,4.36016091364014e-23
"Paxbp1",1.81642572857279e-27,0.314469281293424,0.795,0.763,4.64678029883491e-23
"Cggbp1",1.87548205453155e-27,0.288859721265184,0.896,0.867,4.79785819190262e-23
"Timm44",2.38797703446902e-27,0.284297391409925,0.799,0.75,6.10892284957865e-23
"Gcat",2.57790391441509e-27,-0.279528253118277,0.662,0.773,6.59479379385669e-23
"Ireb2",3.213803753917e-27,0.265455975755183,0.738,0.652,8.22155276327047e-23
"Ddx41",3.91294178207151e-27,0.258387407589972,0.873,0.82,1.00100876668953e-22
"Gja1",4.3321234869534e-27,0.305439512908474,0.937,0.902,1.10824383043242e-22
"Plin2",5.14573017855016e-27,-0.262857388810265,0.569,0.706,1.3163806942767e-22
"Arf6",5.72872672098368e-27,0.265522125113961,0.773,0.689,1.46552286976204e-22
"Cspp1",7.91675720760107e-27,0.28296129325185,0.81,0.744,2.02526482884851e-22
"Mbtd1",1.10947838068355e-26,0.265637057819728,0.852,0.817,2.83826759346467e-22
"Gli3",1.19144230836973e-26,0.334497237880812,0.669,0.581,3.04794771327144e-22
"Gm12940",1.93207094794242e-26,0.269782960571889,0.36,0.23,4.94262389902631e-22
"Acaa2",2.10172415321439e-26,-0.252589082284356,0.356,0.5,5.37663072875304e-22
"Ccn1",2.84946714607154e-26,0.426711348684653,0.594,0.463,7.28950685308021e-22
"Pus7",3.18905769495951e-26,0.329284377635191,0.716,0.662,8.15824739524543e-22
